INLINE NewClassTable,,Description,ID,Default Class Promoted From/To,Standing Map Anims,Move Speed,Generic Mug,N/A,HP,Atk,Skl,Spd,Def,Res,Con,Mov,HP Cap,Atk Cap,Skl Cap,Spd Cap,Def Cap,Res Cap,Con Cap,Class Relative Power,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,HP Promo Gain,Atk Promo Gain,Skl Promo Gain,Spd Promo Gain,Def Promo Gain,Res Promo Gain,CharClassAbility,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,Battle Anims,Move Costs,Rain Move Costs,Snow Move Costs,Avo Bonus,Def Bonus,Res Bonus,Class Type
MautheDoog,MautheDoog_Name,MautheDoog_Description,0x5b,Gwyllgi,MautheDoog_SMS,0x0,MautheDoog_ClassCard,0x0,16,4,10,10,2,0,6,7,60,20,20,20,20,20,20,3,70,35,45,45,15,20,30,0,0,0,0,0,0,UseMonsterWeapons,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,MautheDoog_Anims|IsPointer,DoogTarvosMovementCost|IsPointer,RainDoogTarvosMovementCost|IsPointer,SnowDoogTarvosMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,MonsterType
Gwyllgi,Gwyllgi_Name,Gwyllgi_Description,0x5c,MautheDoog,Gwyllgi_SMS,0x0,Gwyllgi_ClassCard,0x0,21,6,12,12,5,2,8,8,60,24,29,30,22,23,20,3,65,28,35,35,16,22,25,0,0,0,0,0,0,UseMonsterWeapons|IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,Gwyllgi_Anims|IsPointer,RangerGwyllgiMaelduinMovementCost|IsPointer,RainRangerGwyllgiMaelduinMovementCost|IsPointer,SnowRangerGwyllgiMaelduinMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,MonsterType
Tarvos,Tarvos_Name,Tarvos_Description,0x5d,Maelduin,Tarvos_SMS,0x0,Tarvos_ClassCard,0x0,21,6,2,5,7,0,10,7,60,20,20,20,20,20,20,3,80,35,40,28,15,15,10,0,0,0,0,0,0,0x0,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,Tarvos_Anims|IsPointer,DoogTarvosMovementCost|IsPointer,RainDoogTarvosMovementCost|IsPointer,SnowDoogTarvosMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,MonsterType
Maelduin,Maelduin_Name,Maelduin_Description,0x5e,Tarvos,Maelduin_SMS,0x0,Maelduin_ClassCard,0x0,25,8,4,7,9,3,12,8,80,25,26,24,25,25,25,3,75,30,30,18,13,20,10,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,ARank,ARank,NoRank,NoRank,NoRank,NoRank,Maelduin_Anims|IsPointer,RangerGwyllgiMaelduinMovementCost|IsPointer,RainRangerGwyllgiMaelduinMovementCost|IsPointer,SnowRangerGwyllgiMaelduinMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,MonsterType
Mogall,Mogall_Name,Mogall_Description,0x5f,ArchMogall,Mogall_SMS,0x0,Mogall_ClassCard,0x0,15,2,1,2,2,4,4,5,60,20,20,20,20,20,20,3,50,45,32,30,10,28,30,0,0,0,0,0,0,UseMonsterWeapons,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,CRank,Mogall_Anims|IsPointer,FlierMovementCost|IsPointer,RainFlierMovementCost|IsPointer,SnowFlierMovementCost|IsPointer,TerrainAvoFlier|IsPointer,TerrainDefFlier|IsPointer,TerrainResFlier|IsPointer,MonsterType
ArchMogall,ArchMogall_Name,ArchMogall_Description,0x60,Mogall,ArchMogall_SMS,0x0,ArchMogall_ClassCard,0x0,17,6,3,3,3,7,5,6,60,29,26,26,20,29,20,3,45,55,30,25,10,28,20,0,0,0,0,0,0,UseMonsterWeapons|IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,ARank,ArchMogall_Anims|IsPointer,FlierMovementCost|IsPointer,RainFlierMovementCost|IsPointer,SnowFlierMovementCost|IsPointer,TerrainAvoFlier|IsPointer,TerrainDefFlier|IsPointer,TerrainResFlier|IsPointer,MonsterType
Gorgon,Gorgon_Name,Gorgon_Description,0x61,Mogall,Gorgon_SMS,0x0,GorgonEgg_ClassCard,0x0,19,8,3,4,5,7,11,6,60,29,26,26,21,28,25,3,45,60,30,25,10,40,30,0,0,0,0,0,0,UseMonsterWeapons|IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,ARank,Gorgon_Anims|IsPointer,MageMovementCost|IsPointer,RainMageMovementCost|IsPointer,SnowMageMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,MonsterType
GorgonEgg2,GorgonEgg_Name,GorgonEgg_Description,0x62,0x0,GorgonEgg2_SMS,0x0,GorgonEgg_ClassCard,0x0,50,0,0,0,10,10,6,0,60,30,30,30,30,30,30,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x0,0x0,0x0,0x0,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,MonsterType
Gargoyle,Gargoyle_Name,Gargoyle_Description,0x63,Deathgoyle,Gargoyle_SMS,0x0,Gargoyle_ClassCard,0x0,19,6,3,6,6,0,8,6,60,20,20,20,20,20,20,3,80,45,35,35,25,15,10,0,0,0,0,0,0,0x0,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,Gargoyle_Anims|IsPointer,FlierMovementCost|IsPointer,RainFlierMovementCost|IsPointer,SnowFlierMovementCost|IsPointer,TerrainAvoFlier|IsPointer,TerrainDefFlier|IsPointer,TerrainResFlier|IsPointer,MonsterType
Deathgoyle,Deathgoyle_Name,Deathgoyle_Description,0x64,Gargoyle,Deathgoyle_SMS,0x0,Deathgoyle_ClassCard,0x0,23,8,5,8,9,1,11,7,60,27,25,23,28,22,25,3,75,40,30,25,20,17,10,0,0,0,0,0,0,IsPromoted,NoRank,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,Deathgoyle_Anims|IsPointer,FlierMovementCost|IsPointer,RainFlierMovementCost|IsPointer,SnowFlierMovementCost|IsPointer,TerrainAvoFlier|IsPointer,TerrainDefFlier|IsPointer,TerrainResFlier|IsPointer,MonsterType
DracoZombie,DracoZombie_Name,DracoZombie_Description,0x65,WyvernRider,DracoZombie_SMS,0x0,Manakete2_ClassCard,0x0,53,1,0,1,0,3,25,5,100,50,50,50,50,50,25,3,85,35,20,20,30,10,25,0,0,0,0,0,0,UseMonsterWeapons|IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,DracoZombie_Anims|IsPointer,FlierMovementCost|IsPointer,RainFlierMovementCost|IsPointer,SnowFlierMovementCost|IsPointer,TerrainAvoFlier|IsPointer,TerrainDefFlier|IsPointer,TerrainResFlier|IsPointer,MonsterType
DemonKing,DemonKing_Name,DemonKing_Description,0x66,WyvernRider,DemonKing_SMS,0x0,DemonKing_ClassCard,0x0,120,23,20,18,25,25,25,2,120,50,50,50,50,50,25,5,95,40,30,20,20,20,25,0,0,0,0,0,0,UseMonsterWeapons|IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,DemonKing_Anims|IsPointer,DemonKingMovementCost|IsPointer,DemonKingMovementCost|IsPointer,DemonKingMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,MonsterType
MannedBallista,0x0,0x0,0x67,0x0,MannedBallista_SMS,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x0,0x0,0x0,0x0,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
MannedIronBallista,0x0,0x0,0x68,0x0,MannedIronBallista_SMS,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x0,0x0,0x0,0x0,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
MannedKillerBallista,0x0,0x0,0x69,0x0,MannedKillerBallista_SMS,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x0,0x0,0x0,0x0,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
UnmannedBallista,0x0,0x0,0x6a,0x0,UnmannedBallista_SMS,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x0,0x0,0x0,0x0,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
UnmannedIronBallista,0x0,0x0,0x6b,0x0,UnmannedIronBallista_SMS,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x0,0x0,0x0,0x0,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
UnmannedKillerBallista,0x0,0x0,0x6c,0x0,UnmannedKillerBallista_SMS,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x0,0x0,0x0,0x0,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Child,Civillian_Name,Civillian_Description,0x6d,0x0,Child_SMS,0x1,Civilian7_Mug,0x0,8,1,0,0,0,0,4,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x0,CivilianMovementCost|IsPointer,RainCivilianMovementCost|IsPointer,SnowCivilianMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
ChildF,Civillian_Name,Civillian_Description,0x6e,0x0,ChildF_SMS,0x1,Civilian12_Mug,0x0,7,0,0,0,0,1,3,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x0,CivilianMovementCost|IsPointer,RainCivilianMovementCost|IsPointer,SnowCivilianMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Civilian1,Civillian_Name,Civillian_Description,0x6f,0x0,Civilian_SMS,0x1,Civilian2_Mug,0x0,10,0,1,0,0,2,6,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x0,CivilianMovementCost|IsPointer,RainCivilianMovementCost|IsPointer,SnowCivilianMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Civilian1F,Civillian_Name,Civillian_Description,0x70,0x0,CivilianF_SMS,0x1,Civilian11_Mug,0x0,9,0,1,0,0,1,4,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x0,CivilianMovementCost|IsPointer,RainCivilianMovementCost|IsPointer,SnowCivilianMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Civilian2,Civillian_Name,Civillian_Description,0x71,0x0,Civilian_SMS,0x1,Civilian5_Mug,0x0,12,3,0,0,2,0,7,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x0,CivilianMovementCost|IsPointer,RainCivilianMovementCost|IsPointer,SnowCivilianMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Civilian2F,Civillian_Name,Civillian_Description,0x72,0x0,CivilianF_SMS,0x1,Civilian10_Mug,0x0,10,0,1,0,1,1,5,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x0,CivilianMovementCost|IsPointer,RainCivilianMovementCost|IsPointer,SnowCivilianMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Peer,0x0,0x0,0x73,0x0,Peer_SMS,0x1,Dummy1_Mug,0x0,10,0,0,0,0,0,8,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x0,CivilianMovementCost|IsPointer,RainCivilianMovementCost|IsPointer,SnowCivilianMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Queen,Queen_Name,Queen_Description,0x74,0x0,Queen_SMS,0x1,Dummy1_Mug,0x0,10,0,0,0,0,0,5,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x0,CivilianMovementCost|IsPointer,RainCivilianMovementCost|IsPointer,SnowCivilianMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Prince,0x0,0x0,0x75,0x0,Prince_SMS,0x1,Dummy1_Mug,0x0,10,0,0,0,0,0,7,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x0,CivilianMovementCost|IsPointer,RainCivilianMovementCost|IsPointer,SnowCivilianMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
QueenNoHat,Queen_Name,Queen_Description,0x76,0x0,QueenNoHat_SMS,0x1,Dummy1_Mug,0x0,10,0,0,0,0,0,6,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x0,CivilianMovementCost|IsPointer,RainCivilianMovementCost|IsPointer,SnowCivilianMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
LightRune,0x0,0x0,0x77,0x0,LightRune_SMS,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x0,0x0,0x0,0x0,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
FallenNils,0x0,0x0,0x78,0x0,FallenNils_SMS,0x1,Dummy1_Mug,0x0,10,0,0,0,0,0,25,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x0,CivilianMovementCost|IsPointer,RainCivilianMovementCost|IsPointer,SnowCivilianMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Tent,0x0,0x0,0x79,0x0,Tent_SMS,0x1,Dummy1_Mug,0x0,15,0,3,3,3,0,25,0,60,20,20,20,20,20,25,1,10,0,0,0,0,10,0,0,0,0,0,0,0,CannotControl|IsSupply,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x0,CivilianMovementCost|IsPointer,RainCivilianMovementCost|IsPointer,SnowCivilianMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Pontifex,Pontifex_Name,Pontifex_Description,0x7a,0x0,Pontifex_SMS,0x1,Dummy1_Mug,0x0,10,0,0,0,0,0,8,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x0,CivilianMovementCost|IsPointer,RainCivilianMovementCost|IsPointer,SnowCivilianMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
DeadPeer,0x0,0x0,0x7b,0x0,DeadPeer_SMS,0x1,Dummy1_Mug,0x0,10,0,0,0,0,0,25,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x0,CivilianMovementCost|IsPointer,RainCivilianMovementCost|IsPointer,SnowCivilianMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Cyclops2,Cyclops_Name,Cyclops_Description,0x7c,0x9,Cyclops_SMS,0x0,Cyclops_ClassCard,0x0,40,8,5,6,13,0,16,5,80,29,29,28,30,25,25,3,95,30,35,25,24,25,10,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,SRank,NoRank,NoRank,NoRank,NoRank,NoRank,Cyclops2_Anims|IsPointer,AxesMovementCost|IsPointer,RainAxesMovementCost|IsPointer,SnowAxesMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,MonsterType
ElderBael2,ElderBael_Name,ElderBael_Description,0x7d,Bael,ElderBael_SMS,0x0,ElderBael_ClassCard,0x0,36,8,5,5,9,4,15,6,80,30,28,26,26,22,25,3,85,45,25,20,21,17,10,0,0,0,0,0,0,UseMonsterWeapons|IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,ElderBael2_Anims|IsPointer,BrigandBaelMovementCost|IsPointer,RainBrigandBaelMovementCost|IsPointer,SnowBrigandBaelMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,MonsterType
Journeyman2,Journeyman_Name,Journeyman_Description,0x7e,Journeyman3,Journeyman_SMS,0x0,Fighter_ClassCard,0x0,20,5,3,4,2,1,8,5,60,20,20,20,20,20,20,3,85,55,40,32,18,20,40,2,0,2,0,2,2,0x0,NoRank,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,Journeyman2_Anims|IsPointer,AxesMovementCost|IsPointer,RainAxesMovementCost|IsPointer,SnowAxesMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Pupil2,Pupil_Name,Pupil_Description,0x7f,Pupil3,Pupil_SMS,0x0,Mage_ClassCard,0x0,17,2,3,3,3,3,5,5,60,20,20,20,20,20,20,3,55,55,40,35,10,30,40,2,1,1,0,2,2,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,Pupil2_Anims|IsPointer,MageMovementCost|IsPointer,RainMageMovementCost|IsPointer,SnowMageMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
,0x0,0x0,128,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
ThiefF,Thief_Name,Thief_Description,129,RogueF,ThiefF_SMS,0x0,Thief_ClassCard,0x0,16,1,1,7,1,1,5,6,60,20,20,20,20,20,20,2,45,5,45,40,5,20,40,0,0,0,0,0,0,Steal|CanUseLockpick,ERank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,ThiefF_Anims|IsPointer,ThiefMovementCost|IsPointer,RainThiefMovementCost|IsPointer,SnowThiefMovementCost|IsPointer,TerrainAvoNormal|IsPointer|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
RogueF,Rogue_Name,Rogue_Description,130,ThiefF,RogueF_SMS,0x0,Rogue_ClassCard,0x0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IsPromoted|CanUseLockpick|Steal,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,RogueF_Anims|IsPointer,ThiefMovementCost|IsPointer,RainThiefMovementCost|IsPointer,SnowThiefMovementCost|IsPointer,TerrainAvoNormal|IsPointer|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Nomad,Nomad_Name,Nomad_Description,131,NomadTrooper,Nomad_SMS,0x0,Nomad_ClassCard,0x0,16,5,4,5,4,0,7,7,60,20,20,20,20,20,20,3,65,30,40,45,12,15,30,0,0,0,0,0,0,MountedAid|HasCanto|HorseIcon,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,Nomad_Anims|IsPointer,NomadMovementCost|IsPointer,RainNomadMovementCost|IsPointer,SnowNomadMovementCost|IsPointer,TerrainAvoNormal|IsPointer|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
NomadF,Nomad_Name,Nomad_Description,132,NomadTrooperF,NomadF_SMS,0x0,Nomad_ClassCard,0x0,15,4,5,6,3,0,5,7,60,20,20,20,20,20,20,3,65,30,40,45,12,15,30,0,0,0,0,0,0,MountedAid|HasCanto|HorseIcon,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,NomadF_Anims|IsPointer,NomadMovementCost|IsPointer,RainNomadMovementCost|IsPointer,SnowNomadMovementCost|IsPointer,TerrainAvoNormal|IsPointer|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
NomadTrooper,NomadTrooper_Name,NomadTrooper_Description,133,Nomad,NomadTrooper_SMS,0x0,NomadTrooper_ClassCard,0x0,21,7,6,7,6,3,8,8,60,24,28,30,23,23,20,3,60,25,30,35,15,10,25,5,2,2,2,2,3,MountedAid|HasCanto|HorseIcon|IsPromoted,ERank,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NomadTrooper_Anims|IsPointer,RangerGwyllgiMaelduinMovementCost|IsPointer,RainRangerGwyllgiMaelduinMovementCost|IsPointer,SnowRangerGwyllgiMaelduinMovementCost|IsPointer,TerrainAvoNormal|IsPointer|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
NomadTrooperF,NomadTrooper_Name,NomadTrooper_Description,134,NomadF,NomadTrooperF_SMS,0x0,NomadTrooper_ClassCard,0x0,21,6,6,7,5,4,6,8,60,23,28,30,22,25,20,3,60,25,30,35,15,10,25,6,2,1,1,2,4,MountedAid|HasCanto|HorseIcon|IsPromoted,ERank,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NomadTrooperF_Anims|IsPointer,RangerGwyllgiMaelduinMovementCost|IsPointer,RainRangerGwyllgiMaelduinMovementCost|IsPointer,SnowRangerGwyllgiMaelduinMovementCost|IsPointer,TerrainAvoNormal|IsPointer|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Transporter,Transporter_Name,Transporter_Description,135,0x0,Transporter_SMS,0x0,0x0,0x0,15,0,3,3,3,0,25,5,60,20,20,20,20,20,25,1,10,0,0,0,0,0,0,0,0,0,0,0,0,HasCanto,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x0,CivilianMovementCost|IsPointer,RainCivilianMovementCost|IsPointer,SnowCivilianMovementCost|IsPointer,TerrainAvoNormal|IsPointer|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
FaeManakete,Manakete_Name,Manakete_Description,136,0x0,FaeManakete_SMS,0x0,0x0,0x0,12,0,0,2,1,1,1,5,60,20,20,20,20,20,20,2,95,40,30,20,0,10,25,0,0,0,0,0,0,UseMonsterWeapons,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,FaeManakete_Anims|IsPointer,BasicInfantryMovementCost|IsPointer,RainBasicInfantryMovementCost|IsPointer,SnowBasicInfantryMovementCost|IsPointer,TerrainAvoNormal|IsPointer|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
DivineDragon,DivineDragon_Name,DivineDragon_Description,137,0x0,DivineDragon_SMS,0x0,0x0,0x0,40,10,5,5,12,10,25,8,80,30,30,30,30,30,25,2,95,45,30,25,55,10,25,0,0,0,0,0,0,UseMonsterWeapons,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,DivineDragon_Anims|IsPointer,BasicInfantryMovementCost|IsPointer,RainBasicInfantryMovementCost|IsPointer,SnowBasicInfantryMovementCost|IsPointer,TerrainAvoNormal|IsPointer|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
FireManakete,Manakete_Name,Manakete_Description,138,0x0,FireManakete_SMS,0x0,FireManakete_ClassCard,0x0,20,0,0,2,1,1,5,5,60,20,20,20,20,20,20,3,95,40,30,20,0,10,25,0,0,0,0,0,0,UseMonsterWeapons,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,FireManakete_Anims|IsPointer,BasicInfantryMovementCost|IsPointer,RainBasicInfantryMovementCost|IsPointer,SnowBasicInfantryMovementCost|IsPointer,TerrainAvoNormal|IsPointer|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
FireDragon,FireDragon_Name,FireDragon_Description,139,0x0,FireDragon_SMS,0x0,0x0,0x0,40,10,5,5,12,10,25,8,80,30,28,28,30,28,25,5,95,40,30,20,0,10,25,0,0,0,0,0,0,UseMonsterWeapons,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,FireDragon_Anims|IsPointer,BasicInfantryMovementCost|IsPointer,RainBasicInfantryMovementCost|IsPointer,SnowBasicInfantryMovementCost|IsPointer,TerrainAvoNormal|IsPointer|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
